Source,Folio,Locus,Raw_Text,Clean_Text
ZL3b-n,f79r,"f79r.12,+P0",qokchy.qotchey.ldain.shedy.qotaiin.sal<$>,qokchy qotchey ldain shedy qotaiin sal
ZL3b-n,f79r,"f79r.13,+P0","<%>pshorol.shckhy.qotshdy.qokaldy.opchedy.qotar.or,aiin,ol",pshorol shckhy qotshdy qokaldy opchedy qotar or aiin ol
ZL3b-n,f79r,"f79r.14,+P0","saral.qokain.checkhy.qotal.qol.cheey.chey.dain.chedy,qol",saral qokain checkhy qotal qol cheey chey dain chedy qol
ZL3b-n,f79r,"f79r.15,+P0",qokl.shey.qokal.chedy.okol.dyty.r.aiin.ol.sheol.lchey,qokl shey qokal chedy okol dyty r aiin ol sheol lchey
ZL3b-n,f79r,"f79r.16,+P0",shain.shckhy.qoly.kshedy.otal.sheey.qokain.shey.qokam,shain shckhy qoly kshedy otal sheey qokain shey qokam
ZL3b-n,f79r,"f79r.17,+P0","qokaiin.shy.lsheey.ls,air.or.aror.otaiin.ches.olol.ol",qokaiin shy lsheey ls air or aror otaiin ches olol ol
ZL3b-n,f79r,"f79r.18,+P0","solor.olshey.qokaiin.chey.qokain.otain.otain.otal,ol,dam",solor olshey qokaiin chey qokain otain otain otal ol dam
ZL3b-n,f79r,"f79r.19,+P0","sol,cheey.chol.sain.oral.shey.qokain.sheyky.sho[t:k]y.oly",sol cheey chol sain oral shey qokain sheyky shoty oly
ZL3b-n,f79r,"f79r.20,+P0","y.shal.y,chedar.o{ikh}y.scthey.tal.chear<$>",y shal y chedar oikhy scthey tal chear
ZL3b-n,f79r,"f79r.21,+P0",<%>pol.shar.sharpchey.otshey.okaos<!corr?>.aiin.okshey.dalkeeeyry,pol shar sharpchey otshey okaos aiin okshey dalkeeeyry
ZL3b-n,f79r,"f79r.22,+P0","lchey.dal,sheedy.efchedy.otain.shey.qofchey.ol.dorchedchey",lchey dal sheedy efchedy otain shey qofchey ol dorchedchey
ZL3b-n,f79r,"f79r.23,+P0",da[s:r].shear.qotaiin.ol.lkain.otchedy.or.olkl.o.tshedy.otory,das shear qotaiin ol lkain otchedy or olkl o tshedy otory
ZL3b-n,f79r,"f79r.24,+P0",qokshedy.qolkeey.qolkeedy.qokedy.otain.otchey.okain.y,qokshedy qolkeey qolkeedy qokedy otain otchey okain y
ZL3b-n,f79r,"f79r.25,+P0","cholchey.qotshy.qol,shey.qokar.shedy.oteey.chcthy<$>",cholchey qotshy qol shey qokar shedy oteey chcthy
ZL3b-n,f79r,"f79r.26,+P0",<%>polaiin.olteedy.qotchey.dykeedy.qokchdy.opchedy.shol.ory,polaiin olteedy qotchey dykeedy qokchdy opchedy shol ory
ZL3b-n,f79r,"f79r.27,+P0",qokeedy.sheey.kas.cheey.olkaiin.ol.ory.cholor.oty.oky,qokeedy sheey kas cheey olkaiin ol ory cholor oty oky
ZL3b-n,f79r,"f79r.28,+P0","y.dolsheey.qokain.o,dain.yteey.chyteey.otoldy,lchey",y dolsheey qokain o dain yteey chyteey otoldy lchey
ZL3b-n,f79r,"f79r.29,+P0",lcheey.qochey.qody.qokal.olor.okchd.dchol.dchy.oly,lcheey qochey qody qokal olor okchd dchol dchy oly
ZL3b-n,f79r,"f79r.30,+P0","y,shedy.qotal.ysheey.olor<$>",y shedy qotal ysheey olor
ZL3b-n,f79r,"f79r.31,+P0","<%>polshey.oltshedy.sheol.ykeey.okeey.cheor,sheedy.ol",polshey oltshedy sheol ykeey okeey cheor sheedy ol
ZL3b-n,f79r,"f79r.32,+P0","sol.cheedy.qoteedy.okaiin.ol,olaiin.shey.daiin.ch?[y:?].ol",sol cheedy qoteedy okaiin ol olaiin shey daiin ol
ZL3b-n,f79r,"f79r.33,+P0",daiin.shedy.qotshedy.oteeedy.oteedy.chey.qoka[in:i?].ol,daiin shedy qotshedy oteeedy oteedy chey qokain ol
ZL3b-n,f79r,"f79r.34,+P0","lcheol,kchedy.qotas.sheey.teol.oteedy<$>",lcheol kchedy qotas sheey teol oteedy
ZL3b-n,f79r,"f79r.35,+P0",<%>polchedy.shedy.qoteedy.qotain.ody.chckhes.otal,polchedy shedy qoteedy qotain ody chckhes otal
ZL3b-n,f79r,"f79r.36,+P0",sol.sheeol.ol.cheey.o[s:d].sheky.sheol.or.shear.oly,sol sheeol ol cheey os sheky sheol or shear oly
ZL3b-n,f79r,"f79r.37,+P0","lcheol.ol.ol,sheey.olsheey.sholkeey.okchey.dain",lcheol ol ol sheey olsheey sholkeey okchey dain
ZL3b-n,f79r,"f79r.38,+P0",pol.olkeeey.sheol.qokeey<$>,pol olkeeey sheol qokeey
ZL3b-n,f79r,"f79r.39,+P0",<%>polkeey.qokol.otshdy.olky.orkor.she{cphh}edy.olkal,polkeey qokol otshdy olky orkor shecphhedy olkal
ZL3b-n,f79r,"f79r.40,+P0","y,shedy.qokched.oltchey.otchot[a:o]r.ol.okaiin.chckhy",y shedy qokched oltchey otchotar ol okaiin chckhy
ZL3b-n,f79r,"f79r.41,+P0",qokain.shedy.qotain.oteedy.chkain.ol.ol.chedy.oly,qokain shedy qotain oteedy chkain ol ol chedy oly
ZL3b-n,f79r,"f79r.42,+P0",sain.ok[a:?]io.chedy.lkchedy.aiin.okain.oly.cheedy,sain okaio chedy lkchedy aiin okain oly cheedy
ZL3b-n,f79r,"f79r.43,+P0","y,shey.qokain.cheol.qoky.daiin.chka[g:m].ar.cheedy.ldy",y shey qokain cheol qoky daiin chkag ar cheedy ldy
ZL3b-n,f79r,"f79r.44,+P0","ody.aran.okeey.dar,cheory<$>",ody aran okeey dar cheory
ZL3b-n,f79v,"f79v.1,@P0","<%>poldshedy.olkory.qotolol.otaldy.[y:o]tedol,or.olorol",poldshedy olkory qotolol otaldy ytedol or olorol
ZL3b-n,f79v,"f79v.2,+P0",qoteedy.qokchey.qoty.lshey.qokain.shey.qorchedy,qoteedy qokchey qoty lshey qokain shey qorchedy
ZL3b-n,f79v,"f79v.3,+P0",dolsheol.okchy.qokain.sheedy.qokshedy.qokeedy.otaram,dolsheol okchy qokain sheedy qokshedy qokeedy otaram
ZL3b-n,f79v,"f79v.4,+P0",qokeedy.qokeedy.qotain.sol.chedy.rchey.qoky.lchedy,qokeedy qokeedy qotain sol chedy rchey qoky lchedy
ZL3b-n,f79v,"f79v.5,+P0",qolkeedy.qokedy.qotal.saiin.ory.qokedy.oteedy.lcheam,qolkeedy qokedy qotal saiin ory qokedy oteedy lcheam
ZL3b-n,f79v,"f79v.6,+P0","ycheckhey.r.ain.chedy.qokain.chedy.ol,shedy.dar,ytam",ycheckhey r ain chedy qokain chedy ol shedy dar ytam
ZL3b-n,f79v,"f79v.7,+P0","qokshey.qokeedy.qol,kedy.qokeedy.qokain.solchedy",qokshey qokeedy qol kedy qokeedy qokain solchedy
ZL3b-n,f79v,"f79v.8,+P0",ychedy.qotey.okedy.tedyol.sheedy.qokeey.qoteedy.lol,ychedy qotey okedy tedyol sheedy qokeey qoteedy lol
ZL3b-n,f79v,"f79v.9,+P0",sar.ol.sheey.qokeedy.qokechey.qol<$>,sar ol sheey qokeedy qokechey qol
ZL3b-n,f79v,"f79v.10,+P0","<%>pchedy.lsheckhedy.qokeey.qokaiin.olky.opchedy,pchedy",pchedy lsheckhedy qokeey qokaiin olky opchedy pchedy
ZL3b-n,f79v,"f79v.11,+P0",olcheey.lchedy.qolkeedy.qokain.chckhy.otar.olkam<$>,olcheey lchedy qolkeedy qokain chckhy otar olkam
ZL3b-n,f79v,"f79v.12,+P0",<%>pshdy.ofchdy.qokedy.qoteedy.qokedy.qoltedy.qotedy.oky,pshdy ofchdy qokedy qoteedy qokedy qoltedy qotedy oky
ZL3b-n,f79v,"f79v.13,+P0",dain.ar.olshey.dytain.qokain.checthy.okeedy.qokeedy.ror,dain ar olshey dytain qokain checthy okeedy qokeedy ror
ZL3b-n,f79v,"f79v.14,+P0",qokeey.qokedy.okeey.qokol.sheedy.qokeedy.rolchey.qokeedy,qokeey qokedy okeey qokol sheedy qokeedy rolchey qokeedy
